State,LGAName,StateCode,sLGACode,LGACodetxt,LGACode
Abia,Aba North,38,1,3801,3801
Abia,Aba South,38,2,3802,3802
Abia,Arochukwu,38,3,3803,3803
Abia,Bende,38,4,3804,3804
Abia,Ikwuano,38,5,3805,3805
Abia,Isiala-Ngwa North,38,6,3806,3806
Abia,Isiala-Ngwa South,38,7,3807,3807
Abia,Isuikwuato,38,8,3808,3808
Abia,Obi Ngwa,38,9,3809,3809
Abia,Ohafia,38,10,3810,3810
Abia,Osisioma Ngwa,38,11,3811,3811
Abia,Ugwunagbo,38,12,3812,3812
Abia,Ukwa East,38,13,3813,3813
Abia,Ukwa West,38,14,3814,3814
Abia,Umuahia North,38,15,3815,3815
Abia,Umuahia South,38,16,3816,3816
Abia,Umu-Nneochi,38,17,3817,3817
Adamawa,Demsa,39,1,3901,3901
Adamawa,Fufore,39,2,3902,3902
Adamawa,Ganye,39,3,3903,3903
Adamawa,Girie,39,4,3904,3904
Adamawa,Gombi,39,5,3905,3905
Adamawa,Guyuk,39,6,3906,3906
Adamawa,Hong,39,7,3907,3907
Adamawa,Jada,39,8,3908,3908
Adamawa,Larmurde,39,9,3909,3909
Adamawa,Madagali,39,10,3910,3910
Adamawa,Maiha,39,11,3911,3911
Adamawa,Mayo-Belwa,39,12,3912,3912
Adamawa,Michika,39,13,3913,3913
Adamawa,Mubi North,39,14,3914,3914
Adamawa,Mubi South,39,15,3915,3915
Adamawa,Numan,39,16,3916,3916
Adamawa,Shelleng,39,17,3917,3917
Adamawa,Song,39,18,3918,3918
Adamawa,Teungo,39,19,3919,3919
Adamawa,Yola North,39,20,3920,3920
Adamawa,Yola South,39,21,3921,3921
Akwa Ibom,Abak,40,1,4001,4001
Akwa Ibom,Eastern Obolo,40,2,4002,4002
Akwa Ibom,Eket,40,3,4003,4003
Akwa Ibom,Esit Eket,40,4,4004,4004
Akwa Ibom,Essien Udim,40,5,4005,4005
Akwa Ibom,Etim Ekpo,40,6,4006,4006
Akwa Ibom,Etinan,40,7,4007,4007
Akwa Ibom,Ibeno,40,8,4008,4008
Akwa Ibom,Ibesikpo Asutan,40,9,4009,4009
Akwa Ibom,Ibiono Ibom,40,10,4010,4010
Akwa Ibom,Ika,40,11,4011,4011
Akwa Ibom,Ikono,40,12,4012,4012
Akwa Ibom,Ikot Abasi,40,13,4013,4013
Akwa Ibom,Ikot Ekpene,40,14,4014,4014
Akwa Ibom,Ini,40,15,4015,4015
Akwa Ibom,Itu,40,16,4016,4016
Akwa Ibom,Mbo,40,17,4017,4017
Akwa Ibom,Mkpat Enin,40,18,4018,4018
Akwa Ibom,Nsit Atai,40,19,4019,4019
Akwa Ibom,Nsit Ibom,40,20,4020,4020
Akwa Ibom,Nsit Ubium,40,21,4021,4021
Akwa Ibom,Obot Akara,40,22,4022,4022
Akwa Ibom,Okobo,40,23,4023,4023
Akwa Ibom,Onna,40,24,4024,4024
Akwa Ibom,Oron,40,25,4025,4025
Akwa Ibom,Oruk Anam,40,26,4026,4026
Akwa Ibom,Udung Uko,40,27,4027,4027
Akwa Ibom,Ukanafun,40,28,4028,4028
Akwa Ibom,Uruan,40,29,4029,4029
Akwa Ibom,Urue Offong/Oruko,40,30,4030,4030
Akwa Ibom,Uyo,40,31,4031,4031
Anambra,Aguata,41,1,4101,4101
Anambra,Anambra East,41,2,4102,4102
Anambra,Anambra West,41,3,4103,4103
Anambra,Anaocha,41,4,4104,4104
Anambra,Awka North,41,5,4105,4105
Anambra,Awka South,41,6,4106,4106
Anambra,Ayamelum,41,7,4107,4107
Anambra,Dunukofia,41,8,4108,4108
Anambra,Ekwusigo,41,9,4109,4109
Anambra,Idemili North,41,10,4110,4110
Anambra,Idemili South,41,11,4111,4111
Anambra,Ihiala,41,12,4112,4112
Anambra,Njikoka,41,13,4113,4113
Anambra,Nnewi North,41,14,4114,4114
Anambra,Nnewi South,41,15,4115,4115
Anambra,Ogbaru,41,16,4116,4116
Anambra,Onitsha North,41,17,4117,4117
Anambra,Onitsha South,41,18,4118,4118
Anambra,Orumba North,41,19,4119,4119
Anambra,Orumba South,41,20,4120,4120
Anambra,Oyi,41,21,4121,4121
Bauchi,Alkaleri,42,1,4201,4201
Bauchi,Bauchi,42,2,4202,4202
Bauchi,Bogoro,42,3,4203,4203
Bauchi,Damban,42,4,4204,4204
Bauchi,Darazo,42,5,4205,4205
Bauchi,Dass,42,6,4206,4206
Bauchi,Gamawa,42,7,4207,4207
Bauchi,Ganjuwa,42,8,4208,4208
Bauchi,Giade,42,9,4209,4209
Bauchi,Itas/Gadau,42,10,4210,4210
Bauchi,Jama'are,42,11,4211,4211
Bauchi,Katagum,42,12,4212,4212
Bauchi,Kirfi,42,13,4213,4213
Bauchi,Misau,42,14,4214,4214
Bauchi,Ningi,42,15,4215,4215
Bauchi,Shira,42,16,4216,4216
Bauchi,Tafawa-Balewa,42,17,4217,4217
Bauchi,Toro,42,18,4218,4218
Bauchi,Warji,42,19,4219,4219
Bauchi,Zaki,42,20,4220,4220
Bayelsa,Brass,43,1,4301,4301
Bayelsa,Ekeremor,43,2,4302,4302
Bayelsa,Kolokuma/Opokuma,43,3,4303,4303
Bayelsa,Nembe,43,4,4304,4304
