countries,Dengue,Meningitis,West Nile Virus,Cholera,Anthrax,Salmonella,Ebola,Swine Flu H1N1,Whooping Cough,Avian Influenza,Influenza,E. coli,Waterborne Illness,Gastroenteritis,Rabies,Not Yet Classified,Epizootic Hemorrhagic Disease,Swine Flu H3N2,Hantavirus,Coronavirus,Measles,African Swine Fever,Listeriosis,Mumps,Legionnaires',Norovirus,Foot and Mouth,Eastern Equine Encephalitis,Malaria,Polio,Foodborne Illness,Diarrhea,Poisoning,Plague,Other Animal Disease,"Hand, Foot and Mouth Disease",Tuberculosis,Marburg Fever,Undiagnosed,Chicken Pox,Schmallenberg,Animal Die-off,HIV/AIDS,Chikungunya,Other Plant Disease,Environmental,Syphilis,Peste des petits ruminants,Hepatitis A,SARS,Pests,Typhoid,Dysentery,Respiratory Illness,Equine Infectious Anemia,Algae,Botulism,Newcastle Disease,Encephalitis,Pneumonia,Scabies,MRSA,Fever,Other Human Disease
United States,105,3413,2523.5,12,33,859,0.0,35,520,0,182,195.0,451.5,27,292,198,456,400.5,276,0,22,0,335,3,41,32,22,272,2,0,3,6,8,41,36,31,40,0,22,44,3,69,6,0,23,97,69,0,3,0,45,3.0,0,22,0,62,73,44,22,9,23,45,14,11
China,165,19,9.0,616,928,3,4.0,4,4,198,35,12.0,0.0,26,25,206,0,0.0,0,90,29,7,0,0,0,9,85,0,2,0,18,23,36,187,0,118,6,0,7,0,0,0,96,0,6,0,3,0,0,32,24,2.0,23,3,0,0,0,0,6,12,0,0,0,5
Mexico,1230,10,178.0,23,0,16,0.0,14,0,126,21,13.0,0.0,3,14,1,0,0.0,0,0,0,3,0,0,0,0,0,0,3,0,15,41,24,6,0,0,10,0,0,7,0,0,0,0,1,0,3,0,25,0,3,7.0,0,8,0,3,0,0,0,3,3,0,4,4
India,843,3,0.0,10,0,0,0.0,191,0,22,16,0.0,3.0,20,14,0,0,0.0,0,0,0,0,0,0,0,0,15,0,82,21,0,24,0,0,0,9,3,0,12,3,0,0,0,25,2,0,0,0,0,0,0,5.0,0,0,0,0,0,6,39,6,0,0,3,0
Brazil,590,115,0.0,0,0,3,0.0,363,3,0,42,0.0,0.0,0,20,1,0,35.0,15,0,0,0,0,0,0,0,0,0,9,0,7,9,6,0,0,0,30,0,0,46,0,0,0,0,3,0,0,0,0,0,3,0.0,0,0,0,0,6,0,0,6,0,0,8,3
Russia,0,26,85.0,1,112,38,0.0,3,4,0,10,0.0,0.0,155,12,6,0,0.0,16,0,3,316,0,0,0,10,0,0,0,0,3,0,15,3,14,0,1,0,0,0,0,0,3,0,4,0,0,0,42,0,0,6.0,38,12,0,0,0,0,0,6,0,0,0,1
Canada,3,4,67.0,4,15,70,0.0,30,35,0,16,237.0,30.0,3,0,20,0,7.0,3,0,21,0,10,0,209,33,0,0,0,0,3,7,0,3,15,6,6,0,0,0,0,28,0,0,8,3,21,0,0,0,6,2.0,0,0,23,6,0,3,0,0,5,12,0,0
United Kingdom,19,11,0.0,3,50,17,0.0,0,99,0,3,119.0,1.0,12,0,5,0,0.0,2,75,64,0,0,18,41,101,0,0,6,0,0,0,6,0,51,0,8,0,20,0,33,16,0,0,11,0,0,0,0,24,0,3.0,0,10,15,9,0,0,0,3,0,0,0,7
DR Congo,0,6,0.0,52,0,0,670.0,0,0,0,0,0.0,0.0,0,3,3,0,0.0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0.0,8,0,0,421.5,0,0,0,0,0.0,0.0,0,0,17,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,3,0
Egypt,0,0,0.0,0,0,0,0.0,0,0,30,0,0.0,53.0,18,0,4,0,0.0,0,0,0,0,0,337,0,0,6,0,0,0,69,0,28,0,0,0,0,0,7,16,0,0,0,0,0,0,0,23,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,21,37,0.0,0,3,0,0.0,286,12,0,48,3.0,0.0,6,4,0,0,0.0,64,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0.0,0,3,0,0,0,0,0,3,0,0,3,4
Pakistan,161,0,0.0,10,2,0,0.0,0,0,0,0,0.0,4.0,0,0,0,0,0.0,0,0,43,0,0,0,0,0,5,0,5,109,0,5,0,0,11,0,3,0,3,0,0,3,3,0,3,0,0,6,0,0,0,0.0,0,0,0,0,0,9,0,0,6,0,0,0
Dominican Republic,223,0,0.0,137,0,0,0.0,2,3,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,44,0,0.0,0,0,0,0.0,0,0,219,7,0.0,0.0,6,6,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,1,0,0,0,0,0,0,0,0,0,0
Guinea,0,0,7.0,329,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0.0,327,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,4,0.0,0,9,13,0.0,0,0,0,0,11.0,0.0,114,0,1,0,0.0,3,0,0,1,0,0,5,44,0,0,3,0,12,4,6,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0,0,42,0,0,0,0,0,0,0,0,6
Honduras,204,0,3.0,0,0,0,0.0,0,0,0,8,0.0,0.0,0,6,0,0,0.0,0,0,0,3,0,0,0,0,0,0,3,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,82,0,0.0,156,0,0,0.0,0,0,0,10,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,3,0,0.0,0,0,5,0.0,3,0,3,57,0.0,0.0,8,0,0,0,0.0,0,0,20,0,2,0,0,11,0,0,0,0,0,0,0,0,18,0,10,0,0,3,0,3,18,0,6,1,6,0,0,0,10,2.0,0,1,0,3,0,0,0,0,9,0,0,0
